"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.870690670E0,2.489969730E-1,-6.703764796E-1,9.785101891E0
3.882684078E0,2.657563984E-1,-6.703764796E-1,9.825803757E0
3.892693844E0,2.705447972E-1,-6.799532771E-1,9.849745750E0
3.904595699E0,2.992752194E-1,-6.631938815E-1,9.837775230E0
3.916528072E0,2.681505978E-1,-6.631938815E-1,9.847352028E0
3.926537838E0,2.633621991E-1,-6.823474765E-1,9.818621635E0
3.936547603E0,2.896983922E-1,-7.062895298E-1,9.806650162E0
3.948510494E0,3.160346150E-1,-6.871358752E-1,9.813833237E0
3.960503902E0,2.968810201E-1,-6.607996821E-1,9.868899345E0
3.972466793E0,2.873041928E-1,-6.607996821E-1,9.854534149E0
3.982476558E0,2.896983922E-1,-6.823474765E-1,9.873687744E0
3.992486324E0,2.825157940E-1,-6.847416759E-1,9.900024414E0
4.002496090E0,2.801215947E-1,-6.823474765E-1,9.861717224E0
4.012505855E0,2.466027737E-1,-7.086837292E-1,9.811438560E0
4.024468746E0,2.777273953E-1,-6.967126727E-1,9.840168953E0
4.034478511E0,2.873041928E-1,-7.110779285E-1,9.856928825E0
4.044488277E0,2.585737705E-1,-7.015010715E-1,9.871294022E0
4.056451168E0,2.801215947E-1,-7.110779285E-1,9.765948296E0
4.068444576E0,2.801215947E-1,-6.895300746E-1,9.828198433E0
4.080437984E0,2.896983922E-1,-6.607996821E-1,9.861717224E0
4.092400875E0,2.944868207E-1,-6.919242740E-1,9.787496567E0
4.102410640E0,2.801215947E-1,-6.847416759E-1,9.837775230E0
4.114404049E0,2.442085743E-1,-7.062895298E-1,9.885659218E0
4.124413814E0,2.537853718E-1,-7.230489254E-1,9.837775230E0
4.136407222E0,2.753331959E-1,-7.015010715E-1,9.864110947E0
4.148370113E0,2.442085743E-1,-7.278373241E-1,9.856928825E0
4.160271969E0,2.657563984E-1,-6.919242740E-1,9.832986832E0
4.172265377E0,2.873041928E-1,-6.799532771E-1,9.804255486E0
4.184228267E0,2.681505978E-1,-6.823474765E-1,9.811438560E0
4.196191158E0,3.519476354E-1,-6.655880809E-1,9.835380554E0
4.208154049E0,3.208230138E-1,-6.679822803E-1,9.828198433E0
4.220086422E0,2.944868207E-1,-7.326257229E-1,9.837775230E0
4.232079830E0,2.849099934E-1,-7.757213712E-1,9.871294022E0
4.244042720E0,2.537853718E-1,-7.781155705E-1,9.897629738E0
4.254052486E0,2.466027737E-1,-7.757213712E-1,9.900024414E0
4.266015377E0,2.657563984E-1,-7.374141216E-1,9.866505623E0
4.276025142E0,2.657563984E-1,-7.062895298E-1,9.849745750E0
4.288018551E0,2.681505978E-1,-6.871358752E-1,9.756371498E0
4.300011959E0,2.825157940E-1,-6.775590777E-1,9.780313492E0
4.311974849E0,2.849099934E-1,-6.703764796E-1,9.809044838E0
4.323937740E0,2.920926213E-1,-6.991068721E-1,9.813833237E0
4.333947506E0,2.992752194E-1,-7.445967197E-1,9.828198433E0
4.345879879E0,2.849099934E-1,-7.493851185E-1,9.849745750E0
4.357842769E0,2.920926213E-1,-7.254431248E-1,9.832986832E0
4.367852535E0,3.303998411E-1,-7.086837292E-1,9.849745750E0
4.379845943E0,3.471592367E-1,-7.158663273E-1,9.832986832E0
4.391808834E0,2.801215947E-1,-6.967126727E-1,9.818621635E0
4.403710689E0,2.753331959E-1,-6.871358752E-1,9.828198433E0
4.415673580E0,2.753331959E-1,-6.751648784E-1,9.840168953E0
4.427636470E0,2.944868207E-1,-7.254431248E-1,9.823410034E0
4.437646236E0,2.753331959E-1,-7.086837292E-1,9.813833237E0
4.449609127E0,3.016694188E-1,-7.182605267E-1,9.799467087E0
4.459618892E0,3.064578176E-1,-7.278373241E-1,9.792284966E0
4.471581783E0,3.232172430E-1,-7.278373241E-1,9.847352028E0
4.481591549E0,3.064578176E-1,-7.110779285E-1,9.902418137E0
4.491601314E0,2.968810201E-1,-7.062895298E-1,9.844957352E0
